Ref Des,Mid X (mm),Mid Y (mm),Rotation,Comment,Package,LCSC Part number,Link
D1,146.98,52.87,0,USBLC6-2SC6Y,SOT95P280X145-6N,,https://www.snapeda.com/parts/USBLC6-2SC6Y/STMicroelectronics/view-part/?ref=eda
D10,52.02,32.37,90,PGB1010603MR,DIOC1608X36N,,
D11,45.7,32.37,90,PGB1010603MR,DIOC1608X36N,,
D12,40.38,37.37,90,PGB1010603MR,DIOC1608X36N,,
D2,107.39,39.68,270,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D
D3,90.16,34.97,0,MBR0530,SOD3716X135N,,https://www.snapeda.com/parts/MBR0530/Onsemi/view-part/?ref=eda
D4,79.12,43.03,0,MBR0530,SOD3716X135N,,
D5,90.16,31.08,0,MBR0530,SOD3716X135N,,
D6,68.08,35.17,90,PGB1010603MR,DIOC1608X36N,,
D7,71.64,69.48,0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0_0AVX_SD0805S020S1R0_0_0,ESP32_WROVER_AVX---SD0805S020S1R0_AVX_SD0805S020S1R0_0,,https://eu.mouser.com/ProductDetail/KYOCERA-AVX/SD0805S020S1R0?qs=jCA%252BPfw4LHbpkAoSnwrdjw%3D%3D
D8,64.76,34.57,90,PGB1010603MR,DIOC1608X36N,,
D9,55.94,32.47,90,PGB1010603MR,DIOC1608X36N,,
EPD_C1,84.75,27.47,90,1uF/50V,EAGLE-LTSPICE_C0402,,
EPD_C10,77.61,22.39,90,1uF/50V,EAGLE-LTSPICE_C0402,,
EPD_C11,75.51,22.39,90,1uF/50V,EAGLE-LTSPICE_C0402,,
EPD_C12,76.56,22.39,90,1uF/50V,EAGLE-LTSPICE_C0402,,
EPD_C2,89.68,22.55,90,1uF/50V,EAGLE-LTSPICE_C0402,,
EPD_C5,80.79,22.55,90,1uF/50V,EAGLE-LTSPICE_C0402,,
EPD_C6,81.9,22.55,90,1uF/50V,EAGLE-LTSPICE_C0402,,
EPD_C7,83.01,22.55,90,1uF/50V,EAGLE-LTSPICE_C0402,,
